furniture,type,rate,delivery,sale,price
38,264,5.0,172.14,0.17,3500.0
226,264,1.0,52.44,0.33,1499.0
227,264,3.3,52.44,0.12,150.0
170,264,0.0,172.14,0.46,1550.0
228,264,0.0,52.44,0.0,777.0
229,264,0.0,172.14,0.11,5500.0
230,137,0.0,52.44,0.63,2200.0
231,264,3.9,52.44,0.16,450.0
125,264,0.0,172.14,0.17,4999.0
232,12,0.0,172.14,0.28,4999.0
233,409,0.0,172.14,0.33,2999.0
234,151,0.0,172.14,0.0,3349.0
235,264,0.0,52.44,0.0,600.0
236,275,4.0,52.44,0.14,1450.0
237,559,0.0,172.14,0.0,4000.0
238,264,0.0,52.44,0.0,375.0
211,118,5.0,52.44,0.0,299.0
239,264,0.0,172.14,0.19,4000.0
240,246,3.8,52.44,0.56,2700.0
241,264,0.0,172.14,0.0,920.0
11,264,0.0,52.44,0.72,3000.0
242,264,0.0,52.44,0.0,1850.0
243,549,0.0,172.14,0.5,888.0
244,11,0.0,52.44,0.34,350.0
194,446,4.2,52.44,0.18,600.0
245,264,0.0,172.14,0.0,399.0
246,96,0.0,52.44,0.0,230.0
246,96,0.0,52.44,0.0,240.0
63,264,0.0,172.14,0.23,5699.0
247,285,0.0,52.44,0.53,1999.0
53,264,0.0,52.44,0.1,400.0
248,207,4.0,172.14,0.0,4000.0
249,25,5.0,172.14,0.1,3300.0
121,12,4.0,172.14,0.15,6499.0
121,12,4.0,172.14,0.15,6499.0
250,426,4.5,172.14,0.27,3000.0
251,486,0.0,10.83,0.26,1000.0
252,299,0.0,172.14,0.22,222.0
253,405,0.0,324.77,0.47,1595.4
254,264,0.0,172.14,0.27,2750.0
255,264,0.0,52.44,0.0,499.0
77,264,0.0,172.14,0.17,3500.0
256,137,0.0,52.44,0.39,1700.0
11,264,0.0,52.44,0.68,3000.0
257,264,1.0,172.14,0.17,3500.0
79,283,0.0,52.44,0.53,1999.0
77,264,0.0,172.14,0.0,6500.0
258,477,0.0,661.28,0.34,1990.0
259,264,0.0,52.44,0.17,1794.0
260,157,0.0,482.23,0.5,2323.2
261,264,0.0,172.14,0.24,4500.0
262,550,0.0,52.44,0.27,650.0
263,151,0.0,172.14,0.0,5164.0
70,256,0.0,52.44,0.5,999.0
264,264,0.0,52.44,0.27,300.0
265,264,0.0,172.14,0.2,6500.0
231,264,5.0,52.44,0.43,650.0
